"subject","danish","trial","colour1","colour2","col1_name","col2_name","colour_distance","category","accuracy","rt"
29,"Yes",66,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]","pink","pink",0.45,"within",1,561.970806214958
29,"Yes",67,"[1, -0.55, -0.10000000000000009]","[1, -0.7, -0.4]","pink","red",0.3,"across",1,758.813655003905
29,"Yes",69,"[1, -0.85, -0.7]","[1, -0.475, 0.050000000000000044]","red","pink",0.75,"across",1,640.282257227227
29,"Yes",70,"[1, -0.55, -0.10000000000000009]","[1, -0.925, -0.85]","pink","red",0.75,"across",1,550.847265403718
29,"Yes",71,"[1, -0.925, -0.85]","[1, -0.775, -0.55]","red","red",0.3,"within",1,559.833920327947
29,"Yes",72,"[1, -0.7, -0.4]","[1, -0.625, -0.25]","red","pink",0.15,"across",1,532.383290119469
29,"Yes",73,"[1, -0.85, -0.7]","[1, -1.0, -1.0]","red","red",0.3,"within",1,1025.41418815963
29,"Yes",74,"[1, -1.0, -1.0]","[1, -0.55, -0.10000000000000009]","red","pink",0.9,"across",1,553.373039932922
29,"Yes",75,"[1, -0.925, -0.85]","[1, -0.7, -0.4]","red","red",0.45,"within",1,626.709831180051
29,"Yes",76,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]","pink","pink",0.15,"within",1,928.391651017591
29,"Yes",77,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.475, 0.050000000000000044]","pink","pink",0.3,"within",1,727.937696035951
29,"Yes",78,"[1, -0.775, -0.55]","[1, -0.55, -0.10000000000000009]","red","pink",0.45,"across",1,647.097359411418
29,"Yes",79,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]","red","pink",0.9,"across",1,582.114779390395
29,"Yes",80,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]","pink","red",1.05,"across",1,612.139628268778
29,"Yes",81,"[1, -0.925, -0.85]","[1, -0.4, 0.19999999999999996]","red","pink",1.05,"across",1,479.180694324896
29,"Yes",82,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.45,"within",1,484.72468694672
29,"Yes",83,"[1, -0.85, -0.7]","[1, -0.7, -0.4]","red","red",0.3,"within",1,605.500970501453
29,"Yes",84,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]","pink","red",1.2,"across",1,437.49186117202
29,"Yes",85,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]","red","pink",0.9,"across",1,431.448758114129
29,"Yes",86,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]","red","pink",1.05,"across",1,477.969140512869
29,"Yes",87,"[1, -0.775, -0.55]","[1, -0.85, -0.7]","red","red",0.15,"within",1,690.709301270545
29,"Yes",88,"[1, -0.475, 0.050000000000000044]","[1, -0.7, -0.4]","pink","red",0.45,"across",1,682.973755989224
29,"Yes",89,"[1, -1.0, -1.0]","[1, -0.775, -0.55]","red","red",0.45,"within",1,695.296850753948
29,"Yes",90,"[1, -1.0, -1.0]","[1, -0.85, -0.7]","red","red",0.3,"within",1,2013.10176029801
29,"Yes",91,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.4, 0.19999999999999996]","pink","pink",0.15,"within",1,740.419457200915
29,"Yes",92,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]","pink","red",0.75,"across",1,535.035731038079
29,"Yes",93,"[1, -0.625, -0.25]","[1, -0.32500000000000007, 0.34999999999999987]","pink","pink",0.6,"within",1,507.947767153382
29,"Yes",94,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.625, -0.25]","pink","pink",0.6,"within",1,487.477572169155
